5000.0000000	-0.0004561
5005.0000000	-0.0002852
5010.0000000	-0.0003425
5015.0000000	-0.0003999
5020.0000000	-0.0007431
5025.0000000	-0.0002288
5030.0000000	-0.0005725
5035.0000000	-0.0004584
5040.0000000	-0.0003441
5045.0000000	-0.0004591
5050.0000000	-0.0005169
5055.0000000	-0.0001725
5060.0000000	0.0000000
5065.0000000	-0.0004609
5070.0000000	0.0004615
5075.0000000	0.0005199
5080.0000000	0.0016196
5085.0000000	0.0027788
5090.0000000	0.0068946
5095.0000000	0.0141481
5100.0000000	0.0315687
5105.0000000	0.0686944
5110.0000000	0.1315982
5115.0000000	0.2241838
5120.0000000	0.3236408
5125.0000000	0.4153927
5130.0000000	0.4769384
5135.0000000	0.5118577
5140.0000000	0.5206389
5145.0000000	0.5246673
5150.0000000	0.5268820
5155.0000000	0.5315169
5160.0000000	0.5315619
5165.0000000	0.5300086
5170.0000000	0.5222411
5175.0000000	0.5044480
5180.0000000	0.4695989
5185.0000000	0.3987553
5190.0000000	0.3140445
5195.0000000	0.2196459
5200.0000000	0.1350532
5205.0000000	0.0733988
5210.0000000	0.0356605
5215.0000000	0.0177873
5220.0000000	0.0092605
5225.0000000	0.0047844
5230.0000000	0.0025742
5235.0000000	0.0015580
5240.0000000	0.0002999
5245.0000000	0.0000601
5250.0000000	-0.0003008
5255.0000000	-0.0003615
5260.0000000	-0.0005430
5265.0000000	0.0001812
5270.0000000	-0.0008466
5275.0000000	-0.0004238
5280.0000000	-0.0004849
5285.0000000	0.0004854
5290.0000000	-0.0006681
5295.0000000	-0.0007295
5300.0000000	-0.0003651
